Category,ID,Yield (kg),Processed (kg),Beer (liters),X Coordinate,Y Coordinate,Lane From,Lane To,Capacity (kg/liters),Repair Cost,Ground Class
Field,0,4013,,,-665,-655,,,,,
Field,3,7870,,,276,477,,,,,
Field,6,5031,,,880,461,,,,,
Field,9,7729,,,329,299,,,,,
Field,12,4904,,,523,-639,,,,,
Brewery,1,,2509,,-905,597,,,,,
Brewery,4,,2509,,943,821,,,,,
Brewery,7,,2509,,-394,-959,,,,,
Brewery,10,,2509,,-801,-203,,,,,
Pub,2,,,5508,568,-17,,,,,
Pub,5,,,292,-880,-370,,,,,
Pub,8,,,12065,226,-617,,,,,
Pub,11,,,3964,287,817,,,,,
Pub,14,,,1730,-295,-550,,,,,
Pub,17,,,11567,-503,-334,,,,,
Lane,,,,,,,0,7,109,0,
Lane,,,,,,,0,1,502,0,
Lane,,,,,,,3,10,129,0,
Lane,,,,,,,3,4,667,0,
Lane,,,,,,,6,7,662,0,
Lane,,,,,,,6,1,572,0,
Lane,,,,,,,6,10,353,0,
Lane,,,,,,,6,4,345,0,
Lane,,,,,,,9,7,252,0,
Lane,,,,,,,9,1,232,0,
Lane,,,,,,,9,10,701,0,
Lane,,,,,,,12,4,994,0,
Lane,,,,,,,1,17,1658,0,
Lane,,,,,,,1,11,1330,0,
Lane,,,,,,,1,8,4740,0,
Lane,,,,,,,4,5,1650,0,
Lane,,,,,,,4,14,153,0,
Lane,,,,,,,7,8,3267,0,
Lane,,,,,,,10,8,1009,0,
Lane,,,,,,,10,2,3377,0,
Lane,,,,,,,10,14,779,0,
Hull_0,Array of Points,,,,,,,,,,6
HullPoint_0,0,,,,606,-854,,,,,6
HullPoint_0,1,,,,628,-846,,,,,6
HullPoint_0,2,,,,685,-804,,,,,6
HullPoint_0,3,,,,729,-737,,,,,6
HullPoint_0,4,,,,749,-688,,,,,6
HullPoint_0,5,,,,751,-646,,,,,6
HullPoint_0,6,,,,749,-599,,,,,6
HullPoint_0,7,,,,746,-587,,,,,6
HullPoint_0,8,,,,729,-555,,,,,6
HullPoint_0,9,,,,697,-519,,,,,6
HullPoint_0,10,,,,680,-500,,,,,6
HullPoint_0,11,,,,573,-464,,,,,6
HullPoint_0,12,,,,464,-489,,,,,6
HullPoint_0,13,,,,410,-549,,,,,6
HullPoint_0,14,,,,378,-598,,,,,6
HullPoint_0,15,,,,367,-696,,,,,6
HullPoint_0,16,,,,405,-769,,,,,6
HullPoint_0,17,,,,434,-811,,,,,6
HullPoint_0,18,,,,481,-839,,,,,6
HullPoint_0,19,,,,508,-852,,,,,6
Hull_1,Array of Points,,,,,,,,,,3
HullPoint_1,0,,,,-394,100,,,,,3
HullPoint_1,1,,,,-336,122,,,,,3
HullPoint_1,2,,,,-326,127,,,,,3
HullPoint_1,3,,,,-303,146,,,,,3
HullPoint_1,4,,,,-256,205,,,,,3
HullPoint_1,5,,,,-248,227,,,,,3
HullPoint_1,6,,,,-240,250,,,,,3
HullPoint_1,7,,,,-238,315,,,,,3
HullPoint_1,8,,,,-239,346,,,,,3
HullPoint_1,9,,,,-266,406,,,,,3
HullPoint_1,10,,,,-330,445,,,,,3
HullPoint_1,11,,,,-358,456,,,,,3
HullPoint_1,12,,,,-458,493,,,,,3
HullPoint_1,13,,,,-511,476,,,,,3
HullPoint_1,14,,,,-563,446,,,,,3
HullPoint_1,15,,,,-621,329,,,,,3
HullPoint_1,16,,,,-625,315,,,,,3
HullPoint_1,17,,,,-614,254,,,,,3
HullPoint_1,18,,,,-580,168,,,,,3
HullPoint_1,19,,,,-515,119,,,,,3
